Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
France,4,Mexico,1
USA,3,Belgium,0
Yugoslavia,2,Brazil,1
Romania,3,Peru,1
Argentina,1,France,0
Chile,3,Mexico,0
Yugoslavia,4,Bolivia,0
USA,3,Paraguay,0
Uruguay,1,Peru,0
Chile,1,France,0
Argentina,6,Mexico,3
Brazil,4,Bolivia,0
Paraguay,1,Belgium,0
Uruguay,4,Romania,0
Argentina,3,Chile,1
Argentina,6,USA,1
Uruguay,6,Yugoslavia,1
Uruguay,4,Argentina,2
Austria,3,France,2
Hungary,4,Egypt,2
Switzerland,3,Netherlands,2
Sweden,3,Argentina,2
Germany,5,Belgium,2
Spain,3,Brazil,1
Italy,7,USA,1
Czechoslovakia,2,Romania,1
Czechoslovakia,3,Switzerland,2
Germany,2,Sweden,1
Italy,1,Spain,1
Austria,2,Hungary,1
Italy,1,Spain,0
Italy,1,Austria,0
Czechoslovakia,3,Germany,1
Germany,3,Austria,2
Italy,2,Czechoslovakia,1
Switzerland,1,Germany,1
Hungary,6,Dutch East Indies,0
France,3,Belgium,1
Cuba,3,Romania,3
Italy,2,Norway,1
Brazil,6,Poland,5
Czechoslovakia,3,Netherlands,0
Cuba,2,Romania,1
Switzerland,4,Germany,2
Brazil,1,Czechoslovakia,1
Hungary,2,Switzerland,0
Sweden,8,Cuba,0
Italy,3,France,1
Brazil,2,Czechoslovakia,1
Hungary,5,Sweden,1
Italy,2,Brazil,1
Brazil,4,Sweden,2
Italy,4,Hungary,2
Brazil,4,Mexico,0
England,2,Chile,0
Spain,3,USA,1
Sweden,3,Italy,2
Yugoslavia,3,Switzerland,0
Brazil,2,Switzerland,2
Yugoslavia,4,Mexico,1
Spain,2,Chile,0
Sweden,2,Paraguay,2
USA,1,England,0
Brazil,2,Yugoslavia,0
Spain,1,England,0
Italy,2,Paraguay,0
Uruguay,8,Bolivia,0
Switzerland,2,Mexico,1
Chile,5,USA,2
Uruguay,2,Spain,2
Brazil,7,Sweden,1
Brazil,6,Spain,1
Uruguay,3,Sweden,2
Sweden,3,Spain,1
Uruguay,2,Brazil,1
Uruguay,2,Czechoslovakia,0
Austria,1,Scotland,0
Brazil,5,Mexico,0
Yugoslavia,1,France,0
Germany FR,4,Turkey,1
Hungary,9,Korea Republic,0
England,4,Belgium,4
Switzerland,2,Italy,1
Uruguay,7,Scotland,0
Austria,5,Czechoslovakia,0
France,3,Mexico,2
Brazil,1,Yugoslavia,1
Hungary,8,Germany FR,3
Turkey,7,Korea Republic,0
England,2,Switzerland,0
Italy,4,Belgium,1
Germany FR,7,Turkey,2
Switzerland,4,Italy,1
Uruguay,4,England,2
Austria,7,Switzerland,5
Germany FR,2,Yugoslavia,0
Hungary,4,Brazil,2
Germany FR,6,Austria,1
Hungary,4,Uruguay,2
Austria,3,Uruguay,1
Germany FR,3,Hungary,2
Sweden,3,Mexico,0
Soviet Union,2,England,2
Argentina,1,Germany FR,3
Hungary,1,Wales,1
France,7,Paraguay,3
Yugoslavia,1,Scotland,1
Brazil,3,Austria,0
Northern Ireland,1,Czechoslovakia,0
Brazil,0,England,0
Mexico,1,Wales,1
Paraguay,3,Scotland,2
Yugoslavia,3,France,2
Soviet Union,2,Austria,0
Germany FR,2,Czechoslovakia,2
Argentina,3,Northern Ireland,1
Sweden,2,Hungary,1
Sweden,0,Wales,0
Brazil,2,Soviet Union,0
Germany FR,2,Northern Ireland,2
Hungary,4,Mexico,0
Paraguay,3,Yugoslavia,3
France,2,Scotland,1
England,2,Austria,2
Czechoslovakia,6,Argentina,1
Soviet Union,1,England,0
Northern Ireland,2,Czechoslovakia,1
Wales,2,Hungary,1
Brazil,1,Wales,0
Germany FR,1,Yugoslavia,0
Sweden,2,Soviet Union,0
France,4,Northern Ireland,0
Sweden,3,Germany FR,1
Brazil,5,France,2
France,6,Germany FR,3
Brazil,5,Sweden,2
Uruguay,2,Colombia,1
Brazil,2,Mexico,0
Argentina,1,Bulgaria,0
Chile,3,Switzerland,1
Soviet Union,2,Yugoslavia,0
Czechoslovakia,1,Spain,0
Hungary,2,England,1
Germany FR,0,Italy,0
Yugoslavia,3,Uruguay,1
Brazil,0,Czechoslovakia,0
England,3,Argentina,1
Chile,2,Italy,0
Soviet Union,4,Colombia,4
Spain,1,Mexico,0
Hungary,6,Bulgaria,1
Germany FR,2,Switzerland,1
Soviet Union,2,Uruguay,1
Brazil,2,Spain,1
Hungary,0,Argentina,0
Germany FR,2,Chile,0
Yugoslavia,5,Colombia,0
Mexico,3,Czechoslovakia,1
England,0,Bulgaria,0
Italy,3,Switzerland,0
Chile,2,Soviet Union,1
Brazil,3,England,1
Czechoslovakia,1,Hungary,0
Yugoslavia,1,Germany FR,0
Czechoslovakia,3,Yugoslavia,1
Brazil,4,Chile,2
Chile,1,Yugoslavia,0
Brazil,3,Czechoslovakia,1
England,0,Uruguay,0
Germany FR,5,Switzerland,0
Brazil,2,Bulgaria,0
Soviet Union,3,Korea DPR,0
France,1,Mexico,1
Portugal,3,Hungary,1
Argentina,2,Spain,1
Italy,2,Chile,0
Uruguay,2,France,1
Spain,2,Switzerland,1
Hungary,3,Brazil,1
Korea DPR,1,Chile,1
Portugal,3,Bulgaria,0
Germany FR,0,Argentina,0
Soviet Union,1,Italy,0
England,2,Mexico,0
Uruguay,0,Mexico,0
Argentina,2,Switzerland,0
Portugal,3,Brazil,1
Korea DPR,1,Italy,0
England,2,France,0
Hungary,3,Bulgaria,1
Germany FR,2,Spain,1
Soviet Union,2,Chile,1
England,1,Argentina,0
Germany FR,4,Uruguay,0
Soviet Union,2,Hungary,1
Portugal,5,Korea DPR,3
Germany FR,2,Soviet Union,1
England,2,Portugal,1
Portugal,2,Soviet Union,1
England,4,Germany FR,2
Mexico,0,Soviet Union,0
Uruguay,2,Israel,0
Peru,3,Bulgaria,2
England,1,Romania,0
Italy,1,Sweden,0
Germany FR,2,Morocco,1
Brazil,4,Czechoslovakia,1
Belgium,3,El Salvador,0
Uruguay,0,Italy,0
Peru,3,Morocco,0
Romania,2,Czechoslovakia,1
Soviet Union,4,Belgium,1
Sweden,1,Israel,1
Germany FR,5,Bulgaria,2
Brazil,1,England,0
Mexico,4,El Salvador,0
Sweden,1,Uruguay,0
Germany FR,3,Peru,1
Brazil,3,Romania,2
Soviet Union,2,El Salvador,0
Italy,0,Israel,0
Bulgaria,1,Morocco,1
England,1,Czechoslovakia,0
Mexico,1,Belgium,0
Italy,4,Mexico,1
Germany FR,3,England,2
Brazil,4,Peru,2
Uruguay,1,Soviet Union,0
Brazil,3,Uruguay,1
Italy,4,Germany FR,3
Germany FR,1,Uruguay,0
Brazil,4,Italy,1
Brazil,0,Yugoslavia,0
Germany FR,1,Chile,0
German DR,2,Australia,0
Zaire,0,Scotland,2
Uruguay,0,Netherlands,2
Sweden,0,Bulgaria,0
Italy,3,Haiti,1
Poland,3,Argentina,2
Australia,0,Germany FR,3
Scotland,0,Brazil,0
Chile,1,German DR,1
Yugoslavia,9,Zaire,0
Netherlands,0,Sweden,0
Bulgaria,1,Uruguay,1
Haiti,0,Poland,7
Argentina,1,Italy,1
Scotland,1,Yugoslavia,1
Australia,0,Chile,0
Zaire,0,Brazil,3
German DR,1,Germany FR,0
Bulgaria,1,Netherlands,4
Argentina,4,Haiti,1
Sweden,3,Uruguay,0
Poland,2,Italy,1
Yugoslavia,0,Germany FR,2
Brazil,1,German DR,0
Netherlands,4,Argentina,0
Sweden,0,Poland,1
Argentina,1,Brazil,2
Poland,2,Yugoslavia,1
German DR,0,Netherlands,2
Germany FR,4,Sweden,2
Poland,0,Germany FR,1
Netherlands,2,Brazil,0
Argentina,1,German DR,1
Sweden,2,Yugoslavia,1
Brazil,0,Poland,1
Netherlands,1,Germany FR,2
Germany FR,0,Poland,0
Italy,2,France,1
Tunisia,3,Mexico,1
Argentina,2,Hungary,1
Sweden,1,Brazil,1
Austria,2,Spain,1
Peru,3,Scotland,1
Netherlands,3,IR Iran,0
Italy,3,Hungary,1
Poland,1,Tunisia,0
Germany FR,6,Mexico,0
Argentina,2,France,1
Brazil,0,Spain,0
Austria,1,Sweden,0
Scotland,1,IR Iran,1
Netherlands,0,Peru,0
France,3,Hungary,1
Poland,3,Mexico,1
Germany FR,0,Tunisia,0
Italy,1,Argentina,0
Brazil,1,Austria,0
Spain,1,Sweden,0
Peru,4,Iran,1
Scotland,3,Netherlands,2
Germany FR,0,Italy,0
Netherlands,5,Austria,1
Brazil,3,Peru,0
Argentina,2,Poland,0
Poland,1,Peru,0
Italy,1,Austria,0
Germany FR,2,Netherlands,2
Argentina,0,Brazil,0
Netherlands,2,Italy,1
Austria,3,Germany FR,2
Brazil,3,Poland,1
Argentina,6,Peru,0
Brazil,2,Italy,1
Argentina,3,Netherlands,1
Argentina,0,Belgium,1
Italy,0,Poland,0
Brazil,2,Soviet Union,1
Peru,0,Cameroon,0
Hungary,10,El Salvador,1
Scotland,5,New Zealand,2
Germany FR,1,Algeria,2
England,3,France,1
Spain,1,Honduras,1
Chile,0,Austria,1
Czechoslovakia,1,Kuwait,1
Yugoslavia,0,Northern Ireland,0
Italy,1,Peru,1
Argentina,4,Hungary,1
Brazil,4,Scotland,1
Poland,0,Cameroon,0
Belgium,1,El Salvador,0
Soviet Union,3,New Zealand,0
Germany FR,4,Chile,1
England,2,Czechoslovakia,0
Spain,2,Yugoslavia,1
Algeria,0,Austria,2
France,4,Kuwait,1
Honduras,1,Northern Ireland,1
Poland,5,Peru,1
Belgium,1,Hungary,1
Soviet Union,2,Scotland,2
Italy,1,Cameroon,1
Argentina,2,El Salvador,0
Brazil,4,New Zealand,0
Algeria,3,Chile,2
France,1,Czechoslovakia,1
Honduras,0,Yugoslavia,1
Germany FR,1,Austria,0
England,1,Kuwait,0
Northern Ireland,1,Spain,0
Austria,0,France,1
Poland,3,Belgium,0
Italy,2,Argentina,1
Germany FR,0,England,0
Austria,2,Northern Ireland,2
Belgium,0,Soviet Union,1
Argentina,1,Brazil,3
Germany FR,2,Spain,1
France,4,Northern Ireland,1
Poland,0,Soviet Union,0
Italy,3,Brazil,2
Spain,0,England,0
Poland,0,Italy,2
Germany FR,3,France,3
Poland,3,France,2
Italy,3,Germany FR,1
Bulgaria,1,Italy,1
Canada,0,France,1
Spain,0,Brazil,1
Soviet Union,6,Hungary,0
Argentina,3,Korea Republic,1
Morocco,0,Poland,0
Algeria,1,Northern Ireland,1
Belgium,1,Mexico,2
Portugal,1,England,0
Paraguay,1,Iraq,0
Scotland,0,Denmark,1
Uruguay,1,Germany FR,1
Italy,1,Argentina,1
France,1,Soviet Union,1
Korea Republic,1,Bulgaria,1
Hungary,2,Canada,0
Brazil,1,Algeria,0
England,0,Morocco,0
Northern Ireland,1,Spain,2
Mexico,1,Paraguay,1
Poland,1,Portugal,0
Iraq,1,Belgium,2
Denmark,6,Uruguay,1
Germany FR,2,Scotland,1
Hungary,0,France,3
Soviet Union,2,Canada,0
Korea Republic,2,Italy,3
Argentina,2,Bulgaria,0
Paraguay,2,Belgium,2
Iraq,0,Mexico,1
Portugal,1,Morocco,3
England,3,Poland,0
Northern Ireland,0,Brazil,3
Algeria,0,Spain,3
Scotland,0,Uruguay,0
Denmark,2,Germany FR,0
Soviet Union,3,Belgium,4
Mexico,2,Bulgaria,0
Argentina,1,Uruguay,0
Brazil,4,Poland,0
Italy,0,France,2
Morocco,0,Germany FR,1
England,3,Paraguay,0
Denmark,1,Spain,5
Brazil,1,France,1
Germany FR,0,Mexico,0
Spain,1,Belgium,1
Argentina,2,England,1
France,0,Germany FR,2
Argentina,2,Belgium,0
France,4,Belgium,2
Argentina,3,Germany FR,2
Argentina,0,Cameroon,1
Soviet Union,0,Romania,2
"rn"">United Arab Emirates",0,Colombia,2
Italy,1,Austria,0
USA,1,Czechoslovakia,5
Brazil,2,Sweden,1
Germany FR,4,Yugoslavia,1
Costa Rica,1,Scotland,0
England,1,"rn"">Republic of Ireland",1
Belgium,2,Korea Republic,0
Netherlands,1,Egypt,1
Uruguay,0,Spain,0
Argentina,2,Soviet Union,0
Cameroon,2,Romania,1
Yugoslavia,1,Colombia,0
Italy,1,USA,0
Austria,0,Czechoslovakia,1
Germany FR,5,"rn"">United Arab Emirates",1
Brazil,1,Costa Rica,0
Sweden,1,Scotland,2
England,0,Netherlands,0
"rn"">Republic of Ireland",0,Egypt,0
Korea Republic,1,Spain,3
Belgium,3,Uruguay,1
Argentina,1,Romania,1
Cameroon,0,Soviet Union,4
Germany FR,1,Colombia,1
Yugoslavia,4,"rn"">United Arab Emirates",1
Italy,2,Czechoslovakia,0
Austria,2,USA,1
Brazil,1,Scotland,0
Sweden,1,Costa Rica,2
Korea Republic,0,Uruguay,1
Belgium,1,Spain,2
"rn"">Republic of Ireland",1,Netherlands,1
England,1,Egypt,0
Cameroon,2,Colombia,1
Czechoslovakia,4,Costa Rica,1
Brazil,0,Argentina,1
Germany FR,2,Netherlands,1
"rn"">Republic of Ireland",0,Romania,0
Italy,2,Uruguay,0
Spain,1,Yugoslavia,2
England,1,Belgium,0
Yugoslavia,0,Argentina,0
Italy,1,"rn"">Republic of Ireland",0
Germany FR,1,Czechoslovakia,0
England,3,Cameroon,2
Italy,1,Argentina,1
Germany FR,1,England,1
Italy,2,England,1
Germany FR,1,Argentina,0
Spain,2,Korea Republic,2
Germany,1,Bolivia,0
USA,1,Switzerland,1
Italy,0,"rn"">Republic of Ireland",1
Colombia,1,Romania,3
Belgium,1,Morocco,0
Norway,1,Mexico,0
Cameroon,2,Sweden,2
Netherlands,2,Saudi Arabia,1
Brazil,2,Russia,0
Argentina,4,Greece,0
Nigeria,3,Bulgaria,0
Germany,1,Spain,1
Romania,1,Switzerland,4
USA,2,Colombia,1
Italy,1,Norway,0
Korea Republic,0,Bolivia,0
Mexico,2,"rn"">Republic of Ireland",1
Sweden,3,Russia,1
Brazil,3,Cameroon,0
Belgium,1,Netherlands,0
Saudi Arabia,2,Morocco,1
Argentina,2,Nigeria,1
Bulgaria,4,Greece,0
USA,0,Romania,1
Switzerland,0,Colombia,2
Germany,3,Korea Republic,2
Bolivia,1,Spain,3
"rn"">Republic of Ireland",0,Norway,0
Brazil,1,Sweden,1
Italy,1,Mexico,1
Russia,6,Cameroon,1
Morocco,1,Netherlands,2
Belgium,0,Saudi Arabia,1
Greece,0,Nigeria,2
Argentina,0,Bulgaria,2
Germany,3,Belgium,2
Spain,3,Switzerland,0
Saudi Arabia,1,Sweden,3
Romania,3,Argentina,2
Netherlands,2,"rn"">Republic of Ireland",0
Brazil,1,USA,0
Nigeria,1,Italy,2
Mexico,1,Bulgaria,1
Italy,2,Spain,1
Netherlands,2,Brazil,3
Bulgaria,2,Germany,1
Romania,2,Sweden,2
Bulgaria,1,Italy,2
Sweden,0,Brazil,1
Sweden,4,Bulgaria,0
Brazil,0,Italy,0
Brazil,2,Scotland,1
Morocco,2,Norway,2
Italy,2,Chile,2
Cameroon,1,Austria,1
Paraguay,0,Bulgaria,0
Saudi Arabia,0,Denmark,1
France,3,South Africa,0
Spain,2,Nigeria,3
Korea Republic,1,Mexico,3
Netherlands,0,Belgium,0
Argentina,1,Japan,0
Yugoslavia,1,Iran,0
Jamaica,1,Croatia,3
England,2,Tunisia,0
Romania,1,Colombia,0
Germany,2,USA,0
Scotland,1,Norway,1
Brazil,3,Morocco,0
Chile,1,Austria,1
Italy,3,Cameroon,0
South Africa,1,Denmark,1
France,4,Saudi Arabia,0
Nigeria,1,Bulgaria,0
Spain,0,Paraguay,0
Japan,0,Croatia,1
Belgium,2,Mexico,2
Netherlands,5,Korea Republic,0
Germany,2,Yugoslavia,2
Argentina,5,Jamaica,0
USA,1,Iran,2
Colombia,1,Tunisia,0
Romania,2,England,1
Italy,2,Austria,1
Chile,1,Cameroon,1
Scotland,0,Morocco,3
Brazil,1,Norway,2
France,2,Denmark,1
South Africa,2,Saudi Arabia,2
Spain,6,Bulgaria,1
Nigeria,1,Paraguay,3
Belgium,1,Korea Republic,1
Netherlands,2,Mexico,2
Germany,2,Iran,0
USA,0,Yugoslavia,1
Japan,1,Jamaica,2
Argentina,1,Croatia,0
Romania,1,Tunisia,1
Colombia,0,England,2
Italy,1,Norway,0
Brazil,4,Chile,1
France,1,Paraguay,0
Nigeria,1,Denmark,4
Germany,2,Mexico,1
Netherlands,2,Yugoslavia,1
Romania,0,Croatia,1
Argentina,2,England,2
Italy,0,France,0
Brazil,3,Denmark,2
Netherlands,2,Argentina,1
Germany,0,Croatia,3
Brazil,1,Netherlands,1
France,2,Croatia,1
Netherlands,1,Croatia,2
Brazil,0,France,3
France,0,Senegal,1
Uruguay,1,Denmark,2
"rn"">Republic of Ireland",1,Cameroon,1
Germany,8,Saudi Arabia,0
Argentina,1,Nigeria,0
Paraguay,2,South Africa,2
England,1,Sweden,1
Spain,3,Slovenia,1
Brazil,2,Turkey,1
Italy,2,Ecuador,0
Croatia,0,Mexico,1
China PR,0,Costa Rica,2
Japan,2,Belgium,2
Korea Republic,2,Poland,0
Russia,2,Tunisia,0
USA,3,Portugal,2
Germany,1,"rn"">Republic of Ireland",1
Denmark,1,Senegal,1
Cameroon,1,Saudi Arabia,0
France,0,Uruguay,0
Sweden,2,Nigeria,1
Argentina,0,England,1
Spain,3,Paraguay,1
South Africa,1,Slovenia,0
Brazil,4,China PR,0
Italy,1,Croatia,2
Costa Rica,1,Turkey,1
Japan,1,Russia,0
Mexico,2,Ecuador,1
Korea Republic,1,USA,1
Portugal,4,Poland,0
Tunisia,1,Belgium,1
Denmark,2,France,0
Senegal,3,Uruguay,3
Saudi Arabia,0,"rn"">Republic of Ireland",3
Cameroon,0,Germany,2
Sweden,1,Argentina,1
Nigeria,0,England,0
Slovenia,1,Paraguay,3
South Africa,2,Spain,3
Costa Rica,2,Brazil,5
Turkey,3,China PR,0
Ecuador,1,Croatia,0
Mexico,1,Italy,1
Tunisia,0,Japan,2
Portugal,0,Korea Republic,1
Poland,3,USA,1
Belgium,3,Russia,2
Denmark,0,England,3
Germany,1,Paraguay,0
Spain,1,"rn"">Republic of Ireland",1
Sweden,1,Senegal,2
Brazil,2,Belgium,0
Mexico,0,USA,2
Japan,0,Turkey,1
Korea Republic,2,Italy,1
England,1,Brazil,2
Germany,1,USA,0
Senegal,0,Turkey,1
Spain,0,Korea Republic,0
Germany,1,Korea Republic,0
Brazil,1,Turkey,0
Korea Republic,2,Turkey,3
Germany,0,Brazil,2
Germany,4,Costa Rica,2
Poland,0,Ecuador,2
England,1,Paraguay,0
"rn"">Trinidad and Tobago",0,Sweden,0
Argentina,2,C?¿½te d'Ivoire,1
"rn"">Serbia and Montenegro",0,Netherlands,1
Mexico,3,Iran,1
Angola,0,Portugal,1
Australia,3,Japan,1
USA,0,Czech Republic,3
Italy,2,Ghana,0
Korea Republic,2,Togo,1
France,0,Switzerland,0
Brazil,1,Croatia,0
Spain,4,Ukraine,0
Tunisia,2,Saudi Arabia,2
Germany,1,Poland,0
Ecuador,3,Costa Rica,0
England,2,"rn"">Trinidad and Tobago",0
Sweden,1,Paraguay,0
Argentina,6,"rn"">Serbia and Montenegro",0
Netherlands,2,C?¿½te d'Ivoire,1
Mexico,0,Angola,0
Portugal,2,IR Iran,0
Czech Republic,0,Ghana,2
Italy,1,USA,1
Japan,0,Croatia,0
Brazil,2,Australia,0
France,1,Korea Republic,1
Togo,0,Switzerland,2
Saudi Arabia,0,Ukraine,4
Spain,3,Tunisia,1
Ecuador,0,Germany,3
Costa Rica,1,Poland,2
Sweden,2,England,2
Paraguay,2,"rn"">Trinidad and Tobago",0
Iran,1,Angola,1
Portugal,2,Mexico,1
Netherlands,0,Argentina,0
C?¿½te d'Ivoire,3,"rn"">Serbia and Montenegro",2
Czech Republic,0,Italy,2
Ghana,2,USA,1
Japan,1,Brazil,4
Croatia,2,Australia,2
Ukraine,1,Tunisia,0
Saudi Arabia,0,Spain,1
Togo,0,France,2
Switzerland,2,Korea Republic,0
Germany,2,Sweden,0
Argentina,2,Mexico,1
England,1,Ecuador,0
Portugal,1,Netherlands,0
Italy,1,Australia,0
Switzerland,0,Ukraine,0
Brazil,3,Ghana,0
Spain,1,France,3
Germany,1,Argentina,1
Italy,3,Ukraine,0
England,0,Portugal,0
Brazil,0,France,1
Germany,0,Italy,2
Portugal,0,France,1
Germany,3,Portugal,1
Italy,1,France,1
South Africa,1,Mexico,1
Uruguay,0,France,0
Korea Republic,2,Greece,0
Argentina,1,Nigeria,0
England,1,USA,1
Algeria,0,Slovenia,1
Serbia,0,Ghana,1
Germany,4,Australia,0
Netherlands,2,Denmark,0
Japan,1,Cameroon,0
Italy,1,Paraguay,1
New Zealand,1,Slovakia,1
C?¿½te d'Ivoire,0,Portugal,0
Brazil,2,Korea DPR,1
Honduras,0,Chile,1
Spain,0,Switzerland,1
South Africa,0,Uruguay,3
Argentina,4,Korea Republic,1
Greece,2,Nigeria,1
France,0,Mexico,2
Germany,0,Serbia,1
Slovenia,2,USA,2
England,0,Algeria,0
Netherlands,1,Japan,0
Ghana,1,Australia,1
Cameroon,1,Denmark,2
Slovakia,0,Paraguay,2
Italy,1,New Zealand,1
Brazil,3,C?¿½te d'Ivoire,1
Portugal,7,Korea DPR,0
Chile,1,Switzerland,0
Spain,2,Honduras,0
Mexico,0,Uruguay,1
France,1,South Africa,2
Nigeria,2,Korea Republic,2
Greece,0,Argentina,2
Slovenia,0,England,1
USA,1,Algeria,0
Ghana,0,Germany,1
Australia,2,Serbia,1
Slovakia,3,Italy,2
Paraguay,0,New Zealand,0
Denmark,1,Japan,3
Cameroon,1,Netherlands,2
Portugal,0,Brazil,0
Korea DPR,0,C?¿½te d'Ivoire,3
Chile,1,Spain,2
Switzerland,0,Honduras,0
Uruguay,2,Korea Republic,1
USA,1,Ghana,2
Germany,4,England,1
Argentina,3,Mexico,1
Netherlands,2,Slovakia,1
Brazil,3,Chile,0
Paraguay,0,Japan,0
Spain,1,Portugal,0
Netherlands,2,Brazil,1
Uruguay,1,Ghana,1
Argentina,0,Germany,4
Paraguay,0,Spain,1
Uruguay,2,Netherlands,3
Germany,0,Spain,1
Uruguay,2,Germany,3
Netherlands,0,Spain,1
Brazil,3,Croatia,1
Mexico,1,Cameroon,0
Spain,1,Netherlands,5
Chile,3,Australia,1
Colombia,3,Greece,0
Uruguay,1,Costa Rica,3
England,1,Italy,2
C?¿½te d'Ivoire,2,Japan,1
Switzerland,2,Ecuador,1
France,3,Honduras,0
Argentina,2,"rn"">Bosnia and Herzegovina",1
Germany,4,Portugal,0
IR Iran,0,Nigeria,0
Ghana,1,USA,2
Belgium,2,Algeria,1
Brazil,0,Mexico,0
Russia,1,Korea Republic,1
Australia,2,Netherlands,3
Spain,0,Chile,2
Cameroon,0,Croatia,4
Colombia,2,C?¿½te d'Ivoire,1
Uruguay,2,England,1
Japan,0,Greece,0
Italy,0,Costa Rica,1
Switzerland,2,France,5
Honduras,1,Ecuador,2
Argentina,1,IR Iran,0
Germany,2,Ghana,2
Nigeria,1,"rn"">Bosnia and Herzegovina",0
Belgium,1,Russia,0
Korea Republic,2,Algeria,4
USA,2,Portugal,2
Australia,0,Spain,3
Netherlands,2,Chile,0
Cameroon,1,Brazil,4
Croatia,1,Mexico,3
Italy,0,Uruguay,1
Costa Rica,0,England,0
Japan,1,Colombia,4
Greece,2,C?¿½te d'Ivoire,1
Nigeria,2,Argentina,3
"rn"">Bosnia and Herzegovina",3,IR Iran,1
Honduras,0,Switzerland,3
Ecuador,0,France,0
USA,0,Germany,1
Portugal,2,Ghana,1
Korea Republic,0,Belgium,1
Algeria,1,Russia,1
Brazil,1,Chile,1
Colombia,2,Uruguay,0
France,2,Nigeria,0
Germany,2,Algeria,1
Brazil,2,Colombia,1
France,0,Germany,1
Brazil,1,Germany,7
Brazil,0,Netherlands,3
Germany,1,Argentina,0
Netherlands,0,Argentina,0
Netherlands,0,Costa Rica,0
Argentina,1,Belgium,0
Netherlands,2,Mexico,1
Costa Rica,1,Greece,1
Argentina,1,Switzerland,0
Belgium,2,USA,1
Brazil,1,Chile,1
Colombia,2,Uruguay,0
Netherlands,2,Mexico,1
Costa Rica,1,Greece,1
France,2,Nigeria,0
Germany,2,Algeria,1
Argentina,1,Switzerland,0
Belgium,2,USA,1
France,0,Germany,1
Brazil,2,Colombia,1
Argentina,1,Belgium,0
Netherlands,0,Costa Rica,0
Brazil,1,Germany,7
Netherlands,0,Argentina,0
Brazil,0,Netherlands,3
Germany,1,Argentina,0
